Date,SPY,XLB,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY
2015-04-01,186.14154052734375,44.13365936279297,63.63909149169922,13.632375717163086,49.88432693481445,38.18765640258789,42.699031829833984,,37.52281188964844,65.8836441040039,69.79905700683594
2015-04-02,186.81118774414062,44.178768157958984,63.770362854003906,13.700282096862793,49.91133499145508,38.17842102050781,42.987770080566406,,37.59032440185547,66.08558654785156,70.42241668701172
2015-04-06,188.06900024414062,44.530616760253906,64.91908264160156,13.722919464111328,50.28951644897461,38.54755783081055,43.329017639160156,,38.11345672607422,66.18658447265625,70.75735473632812
2015-04-07,187.57127380371094,44.45843505859375,64.96011352539062,13.649356842041016,50.17247009277344,38.464500427246094,43.127769470214844,,37.67469787597656,66.34261322021484,70.3666000366211
2015-04-08,188.2047119140625,44.58473205566406,64.43498229980469,13.700282096862793,50.343544006347656,38.584468841552734,43.1977653503418,,37.565006256103516,66.90259552001953,71.02718353271484
2015-04-09,189.03726196289062,44.71104049682617,65.46882629394531,13.722919464111328,50.58667755126953,38.68598937988281,43.32026672363281,,37.404685974121094,67.4074935913086,71.09230041503906
2015-04-10,190.06883239746094,44.83734893798828,65.7560043334961,13.717260360717773,51.29801940917969,38.833648681640625,43.399009704589844,,37.683128356933594,67.98583984375,71.3342056274414
2015-04-13,189.20921325683594,44.65691375732422,65.0995864868164,13.768193244934082,50.8117790222168,38.722900390625,43.1977653503418,,37.31187057495117,67.6186294555664,70.94341278076172
2015-04-14,189.5711212158203,44.84636306762695,66.2729263305664,13.768193244934082,50.87480926513672,38.60293197631836,43.294010162353516,,37.49748992919922,67.7287826538086,70.90620422363281
2015-04-15,190.42173767089844,45.27940368652344,67.85652160644531,13.819121360778809,50.96485137939453,38.94438171386719,43.1715087890625,,37.59032440185547,67.90321350097656,70.90620422363281
2015-04-16,190.3674774169922,45.18017578125,67.70062255859375,13.841757774353027,50.8568000793457,38.80595779418945,43.329017639160156,,37.345619201660156,67.86648559570312,71.04578399658203
2015-04-17,188.17755126953125,44.76517105102539,67.20832824707031,13.655014991760254,50.244503021240234,38.27070617675781,42.9265251159668,,37.210609436035156,67.27896118164062,69.99442291259766
2015-04-20,189.89691162109375,45.08995056152344,67.46267700195312,13.711600303649902,50.82978439331055,38.92592239379883,43.07526779174805,,37.76750946044922,67.69206237792969,70.76667022705078
2015-04-21,189.67071533203125,44.75615310668945,66.74883270263672,13.643692970275879,50.766761779785156,38.907470703125,43.154014587402344,,37.43000793457031,68.14187622070312,70.84111022949219
2015-04-22,190.60276794433594,44.84636306762695,67.19190979003906,13.739895820617676,50.98285675048828,39.304298400878906,43.18027114868164,,37.50594711303711,68.25203704833984,70.90620422363281
2015-04-23,191.08236694335938,44.963653564453125,67.65139770507812,13.762531280517578,50.9288330078125,39.46117401123047,43.03151321411133,,37.71688461303711,68.50908660888672,71.25978088378906
2015-04-24,191.52577209472656,45.34255599975586,67.2657470703125,13.739895820617676,50.71271896362305,39.80263900756836,43.04027557373047,,38.09658432006836,68.28874206542969,72.22740173339844
2015-04-27,190.72943115234375,45.739505767822266,67.19190979003906,13.688966751098633,50.69472122192383,39.91337966918945,42.80401611328125,,37.64094543457031,67.04948425292969,71.59471130371094
2015-04-28,191.3357696533203,45.80265808105469,67.52831268310547,13.768193244934082,50.78476333618164,40.04258346557617,42.84777069091797,,37.910953521728516,67.37995910644531,71.343505859375
2015-04-29,190.54847717285156,45.77558517456055,68.05343627929688,13.762531280517578,50.53263854980469,39.84878158569336,42.46277618408203,,37.750640869140625,66.76490783691406,70.85971069335938
2015-04-30,188.63906860351562,45.48690414428711,67.8401107788086,13.655014991760254,50.09142303466797,39.29507064819336,42.32279968261719,,37.31187057495117,65.82855224609375,70.06886291503906
2015-05-01,190.68418884277344,46.23569107055664,67.99601745605469,13.773850440979004,50.721736907958984,39.77495193481445,42.70778274536133,,37.52281188964844,66.7190170288086,71.03649139404297
2015-05-04,191.22714233398438,46.109397888183594,67.82369995117188,13.909664154052734,50.80276107788086,39.8118782043457,42.76902389526367,,37.80126953125,67.14128875732422,71.18534088134766
2015-05-05,189.03726196289062,45.58613204956055,66.98676300048828,13.785170555114746,50.11843490600586,39.193565368652344,42.42778396606445,,36.95748519897461,66.29673767089844,70.44102478027344
2015-05-06,188.25901794433594,45.59516143798828,66.72422790527344,13.717260360717773,50.09142303466797,38.86133575439453,42.55903244018555,,36.754974365234375,66.03968048095703,70.15260314941406
2015-05-07,189.01011657714844,45.79363250732422,66.00215911865234,13.813465118408203,50.3525505065918,39.14740753173828,42.664024353027344,,36.889984130859375,66.351806640625,70.51544189453125
2015-05-08,191.49864196777344,46.524383544921875,67.08524322509766,14.011526107788086,50.94683837890625,39.710350036621094,43.022762298583984,,37.151546478271484,67.42584991455078,71.26907348632812
2015-05-11,190.5846710205078,46.307865142822266,65.8216552734375,13.960596084594727,50.901824951171875,39.5073356628418,42.84777069091797,,36.898414611816406,67.46257019042969,70.95274353027344
2015-05-12,190.0145721435547,45.82069778442383,66.12522888183594,13.909664154052734,50.847801208496094,39.29507064819336,42.75152587890625,,36.856224060058594,67.03112030029297,70.8224868774414
2015-05-13,190.05076599121094,45.766571044921875,65.95293426513672,13.915325164794922,50.95584487915039,39.46117401123047,42.73402786254883,,36.493404388427734,67.10457611083984,70.37590026855469
2015-05-14,192.03253173828125,46.24471664428711,65.92831420898438,14.03981876373291,51.4691047668457,40.09795379638672,43.390262603759766,,36.91529846191406,68.03172302246094,70.69223022460938
